"GSR","BP","Pain"
33.8924,-0.5675,-0.4743
33.4562,-5.32,-0.475
33.2496,2.5011,-0.4707
33.5147,5.2525,-0.471
34.1857,-1.911,-0.4758
33.8934,-0.4321,-0.4709
33.5099,6.5068,-0.4745
33.2738,-0.9916,-0.469
33.781,-3.7637,-0.4749
34.7333,-3.3485,-0.4735
34.6723,0.3216,-0.4751
34.2272,-0.0405,-0.4722
34.0945,3.8797,-0.4732
34.2125,-0.1371,-0.4741
34.679,-1.3013,-0.4721
34.501,5.9651,-0.4716
34.2203,-0.4778,-0.4701
34.6134,-1.38,-0.472
35.167,5.0011,-0.4736
35.0113,-20.2621,-0.4727
34.9291,32.1856,-0.4764
35.459,-28.8003,-0.4755
35.76,1.003,-0.4662
35.48,-1.0571,-0.4298
35.1451,10.6668,-0.4298
35.0155,-6.4963,-0.4304
35.7036,3.0604,-0.431
36.6015,-0.6488,-0.4259
36.293,2.7314,-0.4259
35.7441,-1.4809,-0.4307
35.2713,0.2466,-0.4259
34.9105,-0.4724,-0.4249
34.6884,2.1756,-0.426
34.4474,0.2556,-0.428
34.1864,0.3906,-0.4255
33.9567,-3.7359,-0.425
33.7426,7.2112,-0.4233
33.5794,-0.7123,-0.4248
33.4152,-1.6301,-0.4259
33.227,5.5838,-0.4252
33.6195,-2.0177,-0.4285
34.8243,-2.6301,-0.4291
35.5901,-2.5545,-0.426
35.7025,1.8148,-0.4258
36.0604,1.1265,-0.4228
36.3403,-3.0517,-0.4262
36.5399,-2.2562,-0.4225
36.4034,5.7132,-0.4227
36.0964,-2.4525,-0.4256
35.8322,-2.6753,-0.4208
35.512,0.6581,-0.421
35.6355,3.671,-0.4238
36.1257,-1.3969,-0.4225
36.1395,2.0796,-0.4258
36.2725,-1.3039,-0.4261
36.2283,-3.1442,-0.4255
35.8459,-1.1098,-0.4268
35.4829,4.5231,-0.4268
35.4899,-0.9228,-0.4264
35.5047,-0.8456,-0.4274
35.5,4.728,-0.4286
35.5745,0.9533,-0.4292
35.7958,-1.504,-0.428
35.8445,-1.4427,-0.4263
35.5529,0.1651,-0.4265
35.2766,-1.2749,-0.4268
35.099,-0.9534,-0.4232
35.0874,-0.8122,-0.4232
35.0829,-0.4042,-0.4238
34.874,5.3649,-0.4233
35.2044,-3.234,-0.4276
35.6243,0.8363,-0.4265
35.3134,-1.6985,-0.4257
34.8716,-0.9314,-0.4282
34.8218,1.2143,-0.4309
35.6828,-0.5333,-0.43
36.5273,1.1653,-0.4283
36.6874,1.3186,-0.4279
36.8978,1.1391,-0.4265
36.5616,-1.4605,-0.4267
36.0527,1.6696,-0.4266
35.747,-0.1757,-0.4255
35.5835,1.0353,-0.427
35.3629,-2.1131,-0.4255
35.3605,1.6034,-0.4229
35.5482,-2.3006,-0.4251
35.4607,-0.9868,-0.4256
35.1845,-13.2357,-0.4261
34.9179,-2.5745,-0.429
34.5158,1.0005,-0.429
34.4129,0.4637,-0.3683
34.5332,4.4132,-0.0185
35.1345,7.6509,-0.0166
35.7118,-2.4965,-0.0204
36.294,1.3146,-0.0185
36.8895,-2.6812,-0.0199
36.6628,-0.7828,-0.0185
36.104,-1.1649,-0.017
35.6109,1.2975,-0.0185
35.2416,1.9344,-0.0197
34.9291,-0.3848,-0.0189
34.7935,-1.6999,-0.0213
35.1985,-1.4436,-0.0196
35.3643,5.9842,-0.0218
35.0811,-5.0292,-0.019
34.7245,1.2561,-0.0185
34.506,-1.6584,-0.0179
34.7646,3.2918,-0.0188
35.1865,0.2952,-0.025
35.0973,-3.1826,-0.0225
34.8198,-1.7134,0.0047
34.551,9.1871,-0.0232
34.3834,0.7141,-0.0195
34.4574,-5.184,-0.0201
35.0701,-4.7472,-0.0182
35.1646,0.1365,-0.0198
34.8496,-3.9233,-0.0189
34.4936,0.8702,-0.02
34.2851,-1.7618,-0.0196
34.5349,2.8997,-0.0209
35.3298,-0.4588,-0.0187
35.5455,-0.5259,-0.0207
35.5027,4.422,-0.0192
35.374,-1.8812,-0.0227
35.2145,1.4005,-0.0186
35.1628,-2.1593,-0.0216
35.0001,-1.0315,-0.0192
34.9559,5.1962,-0.0161
35.2458,-1.7291,-0.0195
35.4892,0.5593,-0.0202
35.3916,-1.4202,-0.0221
35.1317,-1.0888,-0.0207
34.9983,1.8716,-0.0208
35.7129,-1.0633,-0.0209
36.4081,-1.2464,-0.0194
36.6773,-1.548,-0.0182
36.3951,-1.0939,-0.0193
35.8814,2.8705,-0.0197
35.46,-1.1584,-0.0169
35.357,0.3754,-0.0205
35.6235,0.9175,-0.0208
35.8334,-1.5176,-0.0213
35.7836,0.032,-0.0235
36.0082,0.2845,-0.0204
35.879,5.2411,0.0858
35.5797,-0.4202,-0.3095
35.6629,-1.3125,-0.4419
36.0544,-2.2946,-0.4667
35.95,1.2256,-0.4651
35.7306,2.0446,-0.4652
35.9813,-2.5619,-0.4648
35.8787,-1.7354,-0.464
35.5988,1.0197,-0.4637
35.7276,-1.8181,-0.4627
35.7962,-3.9421,-0.4638
35.6641,-2.9238,-0.462
35.496,-2.3182,-0.464
35.6221,1.1033,-0.4631
35.9872,1.4585,-0.4639
35.8898,0.6044,-0.4607
35.8427,2.5884,-0.4627
35.6582,0.5872,-0.4608
35.5155,-0.8882,-0.4609
35.7332,-1.7776,-0.4635
35.6494,-0.3459,-0.4625
35.418,-0.2689,-0.4638
35.3102,4.856,-0.4617
35.4339,-0.4731,-0.4641
35.4909,-1.1439,-0.4634
35.243,3.9019,-0.4643
34.9418,-1.2804,-0.4656
34.6979,-1.8784,-0.4612
34.4719,-0.1768,-0.4642
34.2749,3.6746,-0.4624
34.3602,-6.1384,-0.4641
34.9831,-0.4437,-0.4624
35.2218,1.345,-0.4639
35.0152,-0.1894,-0.4671
34.6878,4.3809,-0.4648
34.452,-2.5855,-0.4656
34.6177,0.9541,-0.4684
35.0565,-4.173,-0.464
35.2109,-2.4541,-0.4655
34.8904,3.8353,-0.4634
34.5003,-2.2303,-0.4645
34.1936,2.7859,-0.4623
33.9588,0.8641,-0.4632
33.7548,-2.4994,-0.4646
33.5627,0.3695,-0.4675
33.3896,0.0314,-0.465
33.22,-0.9805,-0.4669
33.0556,1.423,-0.4613
32.8955,-0.0808,-0.4614
32.7643,5.1444,-0.4618
32.6191,-1.8837,-0.4592
32.5048,-3.3636,-0.4631
32.5401,7.1886,-0.4637
32.5967,-5.1489,-0.4635
32.5922,0.2345,-0.4645
32.579,-3.1352,-0.468
32.5341,4.8798,-0.4663
32.4272,-4.0027,-0.4691
32.291,-1.3757,-0.4682
32.1791,1.0204,-0.4687
32.4086,-0.638,-0.4652
32.9182,-1.6468,-0.4675
32.957,-2.7858,-0.4631
32.7482,-2.3058,-0.4654
32.5274,0.8994,-0.4635
32.3803,2.6904,-0.4646
32.4117,0.9477,-0.3758
32.4113,-3.8199,-0.4718
32.3513,2.521,-0.4878
32.1879,-0.563,-0.4918
31.9962,2.088,-0.5097
31.8163,-4.5638,-0.5128
31.6519,4.5359,-0.5122
31.5418,2.6145,-0.5105
31.6025,-2.4609,-0.5124
31.5763,0.3222,-0.5132
31.4726,1.2386,-0.5132
31.3543,4.6902,-0.5112
31.2348,-2.8306,-0.5117
31.1175,1.5972,-0.5106
31.2308,-0.5605,-0.5129
31.7347,-2.0904,-0.5114
32.5624,-2.3454,-0.5129
33.0557,3.08,-0.5114
33.2359,-1.7733,-0.5083
33.3667,-1.5209,-0.5093
33.527,0.2079,-0.5079
33.3434,1.1639,-0.5122
33.2732,0.1151,-0.5121
33.518,-0.3335,-0.5085
33.3163,-0.5444,-0.5088
32.9372,0.3425,-0.5107
32.636,5.2302,-0.5068
32.8417,-0.4904,-0.5112
33.0636,-4.0618,-0.5108
32.8686,1.2645,-0.5071
32.5238,-1.672,-0.5091
32.2899,-2.2818,-0.5101
32.1669,1.144,-0.5106
31.9866,6.5269,-0.5106
31.7787,-2.0083,-0.5067
31.5911,0.3932,-0.5049
31.4324,-3.1656,-0.5079
31.2719,6.2167,-0.5076
31.2619,4.7302,-0.5096
31.9297,-12.3454,-0.5074
32.4269,-4.3543,-0.5088
32.5194,2.8455,-0.5069
32.4174,-0.4897,-0.5076
32.2278,3.4713,-0.5068
32.336,-2.1166,-0.5068
32.529,3.6954,-0.5072
32.4401,-1.3106,-0.5044
32.5276,-1.6692,-0.5086
32.6943,7.6847,-0.5065
32.9326,-1.9,-0.5098
33.7997,0.1316,-0.5085
34.4522,-4.4633,-0.5082
34.4223,-1.4092,-0.5051
