,"GSR","BP","VAS"
428,21.3368,0.5006,-0.0247
429,21.2961,2.5828,-0.0264
430,21.3516,-3.3644,-0.0259
431,21.3434,4.0734,-0.0258
432,21.4506,-3.7101,-0.0235
433,20.5661,4.1027,-0.0241
434,19.7633,-3.7936,-0.0233
435,20.6549,3.5338,-0.0228
436,20.7564,-4.3671,-0.0252
437,20.3335,-2.9565,-0.0245
438,19.7829,-2.7323,-0.0266
439,19.4262,3.8848,-0.0264
440,20.9889,-5.9688,-0.0289
441,21.8478,-1.1615,-0.0263
442,19.7319,-2.459,-0.0243
443,19.0138,1.0646,-0.0239
444,19.3213,-0.2148,-0.0242
445,18.4902,6.154,-0.0281
446,18.2117,-0.4131,-0.0266
447,19.1216,1.7648,-0.0125
448,19.3459,-0.6311,-0.5242
449,18.6033,4.7406,-0.5762
450,18.5364,-1.704,-0.5742
451,18.6737,2.0287,-0.5762
452,18.465,-0.6934,-0.5744
453,18.41,-2.9522,-0.5742
454,18.1786,5.1781,-0.5753
455,18.1317,-2.6661,-0.5752
456,19.0889,5.1807,-0.5733
457,19.7482,-0.2452,-0.5765
458,19.2208,-5.3202,-0.5763
459,19.2174,5.304,-0.5761
460,19.55,-2.0813,-0.5758
461,20.6677,2.8204,-0.5757
462,20.3095,-0.4542,-0.5746
463,19.6978,-3.3978,-0.5732
464,20.2486,2.7402,-0.5754
465,19.8857,-1.8751,-0.5758
466,8.7788,-0.56,-0.5744
467,6.3832,-0.4865,-0.5736
468,8.2123,3.208,-0.5765
469,9.6565,-3.0832,-0.5748
470,9.731,-4.4511,-0.5743
471,10.1052,2.9172,-0.5701
472,11.4665,-1.4914,-0.5743
473,10.6705,1.2235,-0.5686
474,10.6381,4.1967,-0.571
475,11.2227,-10.6315,-0.5737
476,11.6635,6.1141,-0.571
477,11.6779,0.4708,-0.5718
478,11.6946,-1.1008,-0.5684
479,12.6571,-0.3116,-0.5705
480,13.8889,0.986,-0.5677
481,15.6843,1.0686,-0.5702
482,14.4531,-2.5607,-0.5699
483,13.6729,-0.4095,-0.5708
484,13.8823,-1.1082,-0.5714
485,13.1607,0.1447,-0.5738
486,13.4562,3.9356,-0.572
487,13.3914,-4.7629,-0.5723
488,13.0872,13.0084,-0.5709
489,21.4931,1.1238,-0.5695
490,25.7142,-0.7068,-0.5717
491,25.7867,1.1968,-0.5754
492,24.8571,-0.9082,-0.5718
493,24.915,-0.7853,-0.5766
494,24.4849,3.199,-0.5729
495,23.6847,1.0167,-0.5741
496,24.5946,-1.337,-0.5753
497,25.642,1.5538,-0.5734
498,25.88,-1.2456,-0.579
499,24.6329,-3.0717,-0.5768
500,23.6135,2.9781,-0.5781
501,23.2758,-2.0985,-0.5787
502,22.5721,0.6179,-0.5779
503,22.4535,0.8044,-0.5804
504,22.4499,-2.0452,-0.575
505,21.7521,-0.3862,-0.451
506,21.1169,-0.3942,-0.5897
507,21.1116,-0.198,-0.6247
508,20.905,0.6862,-0.621
509,20.4661,-1.0598,-0.6236
510,20.1824,0.9023,-0.6221
511,20.9079,-0.4939,-0.6199
512,20.5442,-1.2763,-0.6191
513,21.2418,1.3004,-0.6145
514,21.1634,2.5786,-0.6137
515,20.2798,0.7828,-0.6154
516,20.8719,0.2277,-0.6174
517,20.8494,-1.408,-0.6149
518,20.9667,-0.1499,-0.6142
519,20.8618,-1.3696,-0.6129
520,20.9671,-3.0913,-0.6168
521,20.4595,2.4207,-0.6125
522,20.2876,-0.6755,-0.6145
523,20.0368,-0.6068,-0.6137
524,19.8055,1.1635,-0.6134
525,19.656,0.7902,-0.6118
526,19.481,0.5145,-0.6115
527,19.5788,-4.9688,-0.6169
528,19.5157,0.2213,-0.6123
529,21.5037,2.5685,-0.6144
530,21.3867,-2.1172,-0.6164
531,20.7253,2.234,-0.6127
532,20.917,2.1975,-0.6143
533,21.0967,0.9293,-0.6126
534,21.5022,-0.2646,-0.6128
535,20.493,0.307,-0.6125
536,20.7723,1.5791,-0.6096
537,21.2858,2.8676,-0.6118
538,20.3898,-2.627,-0.6158
539,19.9656,2.5923,-0.6152
540,19.8191,1.4019,-0.612
541,19.726,-3.0142,-0.6105
542,19.5884,5.3149,-0.6123
543,19.4922,-0.7998,-0.6112
544,19.3763,1.227,-0.6069
545,19.4705,-5.7902,-0.6094
546,17.2365,-1.4115,-0.6074
547,15.5722,-0.9718,-0.6071
548,15.6161,5.5905,-0.6058
549,17.3912,0.2527,-0.6099
550,20.0043,-1.0201,-0.6082
551,19.9712,1.483,-0.6078
552,19.0833,-0.9413,-0.6133
553,18.7975,-0.0562,-0.6122
554,18.7487,2.7232,-0.613
555,18.8216,1.753,-0.6085
556,20.2548,0.1371,-0.6108
557,19.8057,1.3537,-0.613
558,19.4256,-11.3613,-0.6117
559,18.0272,0.8399,-0.6119
560,16.9691,1.6576,-0.6144
561,16.7995,-1.1747,-0.6153
562,17.1133,1.9704,-0.6159
563,17.8107,0.8714,-0.6144
564,17.4563,-1.0984,-0.6167
565,18.1158,0.5378,-0.6158
566,18.229,0.7874,-0.6148
567,17.9036,-0.215,-0.5357
568,18.3467,-1.6412,-0.6376
569,19.2,-0.2578,-0.6812
570,18.514,2.8737,-0.7205
571,18.2109,-1.8813,-0.7226
572,18.2226,0.7074,-0.7173
573,18.2391,1.3278,-0.7186
574,18.1092,-0.2767,-0.7173
575,18.1781,-2.0202,-0.7172
576,18.9478,1.831,-0.7167
577,19.0291,0.3132,-0.7144
578,19.144,1.2874,-0.7152
579,18.6822,1.4828,-0.7153
580,18.4641,-0.0583,-0.7148
581,18.3838,2.0389,-0.7159
582,18.3405,-0.924,-0.7173
583,18.5024,-0.4292,-0.7148
584,18.9172,0.3448,-0.7135
585,18.8806,-1.2329,-0.7169
586,19.2382,-1.3426,-0.715
587,20.2913,1.2197,-0.7162
588,19.5432,-1.1072,-0.7151
589,19.1806,0.5019,-0.7127
590,18.9253,0.9957,-0.7146
591,19.178,-0.5283,-0.7143
592,20.3636,2.2989,-0.7159
593,22.1784,-1.7232,-0.7125
594,21.2228,-0.483,-0.709
595,20.2719,-1.5932,-0.7119
596,19.9549,-0.1293,-0.7133
597,20.0794,1.6076,-0.7142
598,20.0002,-0.1111,-0.7104
599,19.6924,-0.8867,-0.7092
600,19.5962,-0.4608,-0.7104
601,19.5056,2.2847,-0.7111
602,19.4725,-0.5243,-0.7121
603,19.4668,0.2819,-0.7089
604,19.5644,0.2061,-0.713
605,19.621,-0.292,-0.7135
606,20.0261,-1.0664,-0.714
607,20.219,0.9943,-0.709
608,20.0421,0.4014,-0.7111
609,19.9761,-0.9578,-0.7125
610,19.887,3.1496,-0.7135
611,19.8267,0.2459,-0.7071
612,19.7484,-0.1848,-0.7097
613,19.7225,2.5812,-0.71
614,19.9126,0.3345,-0.7093
615,22.7952,0.5483,-0.7081
616,23.9109,-0.9826,-0.7119
617,22.601,-1.4307,-0.7121
618,22.2445,1.1752,-0.7163
619,22.3212,-0.5834,-0.7127
620,21.3497,-1.0818,-0.7102
621,20.9575,3.239,-0.7123
622,20.8683,0.0818,-0.7088
623,21.3279,-2.1727,-0.7115
624,21.7299,0.48,-0.7112
625,21.0507,-0.6875,-0.7138
626,20.7573,1.6528,-0.7144
627,20.7464,0.8953,-0.7113
628,21.1807,0.1739,-0.7086
629,21.9742,1.1248,-0.7059
630,21.3416,-3.5336,-0.6971
631,21.5222,-0.7751,-0.6375
632,23.9788,-0.463,-0.8181
633,24.8582,1.2851,-0.8527
634,23.5122,-1.8308,-0.8438
635,22.2357,3.313,-0.846
636,21.6676,-2.4866,-0.8469
637,21.4163,0.6205,-0.848
638,22.1899,3.8754,-0.8485
639,25.109,-2.4292,-0.8483
640,25.9527,3.5986,-0.8502
641,25.6513,-1.5984,-0.8495
642,25.4903,-3.649,-0.8478
643,23.5033,-2.1243,-0.8473
644,24.7885,0.4382,-0.8463
645,25.5107,-0.3607,-0.8464
646,23.847,3.6937,-0.8471
647,23.1896,0.7596,-0.8464
648,23.4503,-2.7686,-0.846
649,24.3028,2.0597,-0.847
650,23.3337,-0.9961,-0.8489
651,23.0034,-1.3166,-0.8464
652,23.1088,-2.8104,-0.848
653,24.1181,3.1793,-0.8448
654,23.8435,-1.761,-0.8484
655,24.7311,0.6912,-0.8465
656,23.8795,-2.2671,-0.8436
657,23.5363,2.7781,-0.846
658,23.4994,-0.033,-0.8475
659,23.1866,4.7398,-0.8439
660,22.9585,-1.1936,-0.8457
661,23.0209,-0.9672,-0.8473
662,23.2392,0.9537,-0.8507
663,22.9371,3.5913,-0.8493
664,23.9382,-6.0717,-0.8487
665,25.3545,-2.3625,-0.8488
666,26.0673,3.3394,-0.8461
667,25.7865,-3.2476,-0.848
668,26.3726,0.4775,-0.8509
669,27.6658,2.2175,-0.8521
670,27.0797,-1.4762,-0.8507
671,26.237,-1.0464,-0.8471
672,24.743,0.4403,-0.8463
673,24.2647,0.6238,-0.847
674,24.0546,1.1815,-0.8504
675,23.8448,0.7795,-0.8496
676,23.6898,-0.5831,-0.855
677,23.629,-0.644,-0.8549
678,23.477,-0.2303,-0.8515
679,23.3409,-0.2244,-0.8547
680,23.3284,3.569,-0.8525
681,23.8826,-0.5501,-0.8514
682,24.6586,-0.3706,-0.8515
683,26.3153,-0.7377,-0.8498
684,27.6419,-1.9226,-0.7842
685,26.18,-1.2683,-0.9088
686,25.4358,3.1561,-0.952
687,26.0551,-1.562,-0.9553
688,26.2582,2.6154,-0.9538
689,25.0798,-0.3526,-0.9503
690,24.2736,-1.5357,-0.9509
691,23.9431,2.0058,-0.9526
692,23.7336,1.639,-0.952
693,23.591,-0.1966,-0.9517
694,23.4742,-2.4417,-0.948
695,23.4198,3.9607,-0.9506
696,23.4161,-1.6035,-0.9505
697,23.3889,-1.9339,-0.9492
698,23.346,2.2545,-0.9515
699,23.8019,-0.2426,-0.9483
700,24.241,2.122,-0.9472
701,23.7469,0.0538,-0.949
702,24.9214,-1.0849,-0.9559
703,25.8061,-0.9398,-0.9552
704,26.8016,2.9759,-0.9486
705,25.8414,-2.6132,-0.9463
706,25.4509,-2.7287,-0.9469
707,25.1548,3.0187,-0.9428
708,24.4107,-1.8836,-0.9426
709,24.5022,3.4198,-0.9415
710,24.3285,-1.7685,-0.9411
711,23.9167,0.0989,-0.9412
712,25.1832,1.7296,-0.938
713,25.3488,-5.2663,-0.9387
714,25.471,-1.102,-0.9375
715,25.0242,1.8464,-0.9403
716,25.2052,0.7456,-0.9384
717,24.9842,3.0322,-0.9393
718,25.2465,-2.8727,-0.9408
719,25.4978,4.6134,-0.9387
720,25.0647,-0.4459,-0.9358
721,25.7325,-1.6424,-0.9394
722,24.8609,-1.1973,-0.9415
723,24.3933,-0.3449,-0.9405
724,24.1905,3.6668,-0.9417
725,24.1452,0.6054,-0.943
726,24.3333,-0.9028,-0.9369
727,24.044,-0.7192,-0.9408
728,25.6929,-0.057,-0.9305
729,27.2722,-1.7665,-1.0323
730,26.0364,-0.514,-1.0628
731,25.343,-7.4549,-1.0581
