"Time","GSR","BP","VAS"
383,14.7147,-0.6642,-0.0239
384,14.5341,3.1764,-0.0185
385,13.9578,3.1058,-0.0245
386,13.3398,-2.7835,-0.0235
387,13.0567,4.7956,-0.0227
388,13.4416,-3.4987,-0.0217
389,14.3742,2.9706,-0.025
390,15.5541,-5.6991,-0.0224
391,15.2481,0.3115,-0.0217
392,14.8207,-2.243,-0.0211
393,14.6226,1.7137,-0.0238
394,14.512,-1.2201,-0.0249
395,14.5951,3.0153,-0.0229
396,13.8905,-1.5514,-0.0231
397,13.5492,3.6033,-0.0273
398,13.9509,-2.5292,-0.0234
399,14.128,4.1443,-0.0233
400,14.8715,-1.0772,-0.0244
401,15.2763,-3.037,-0.0227
402,15.5234,0.6843,-0.0236
403,15.3878,-0.0712,-0.0202
404,15.6223,-2.524,-0.0241
405,15.2775,-0.0135,-0.0231
406,14.3296,2.0779,-0.0224
407,13.7192,-0.3075,-0.0257
408,13.5233,4.3444,-0.0216
409,13.6855,-0.8232,-0.0244
410,14.5042,2.6379,-0.0241
411,15.2288,0.2372,-0.0235
412,15.7801,0.124,-0.0254
413,16.0951,-0.993,-0.0213
414,15.9036,-3.7153,-0.0227
415,15.2238,-2.6226,-0.0247
416,14.7539,-0.0423,-0.024
417,14.7189,1.8056,-0.0236
418,14.6594,-1.8242,-0.0237
419,14.9034,5.5759,-0.0219
420,14.7314,-0.9967,-0.0222
421,14.5339,4.0445,-0.0218
422,14.8297,-1.6427,-0.0229
423,14.6798,-1.7991,-0.0248
424,14.3854,4.7752,-0.023
425,13.6474,-3.0343,-0.0252
426,14.2552,4.5922,-0.027
427,15.3823,-1.158,-0.0236
428,15.7735,-3.1811,-0.0241
429,15.8985,0.1101,-0.0253
430,15.2083,-2.3684,-0.0255
431,14.8805,-1.5315,-0.0272
432,14.963,3.061,-0.0258
433,14.9823,-1.256,-0.0252
434,15.4279,-0.4626,-0.0265
435,15.6088,5.0696,-0.0246
436,15.3343,-2.5258,-0.0243
437,15.2607,3.6589,-0.024
438,14.9048,-4.152,-0.0238
439,15.0209,2.6913,-0.0231
440,15.8297,-1.0399,-0.0218
441,16.0955,-0.1725,-0.0242
442,15.9295,-1.3378,-0.0236
443,15.888,0.4513,-0.0234
444,15.9884,-3.9179,-0.0229
445,16.4443,0.9205,-0.0245
446,16.3814,-2.4178,-0.0229
447,16.4234,-1.954,-0.0237
448,16.378,2.5452,-0.0256
449,15.9692,-0.8484,-0.0243
450,15.5542,2.5544,-0.0245
451,16.0281,-0.7949,-0.023
452,15.622,1.666,-0.0243
453,15.2215,0.9375,-0.0227
454,15.3995,-0.1135,-0.0255
455,15.6109,3.339,-0.025
456,16.1593,-1.9549,-0.0209
457,15.8352,-2.7548,-0.0237
458,16.0149,4.516,-0.0251
459,16.0808,-1.8105,-0.0251
460,16.095,3.777,-0.0233
461,16.1568,-1.1894,-0.0218
462,16.3907,1.1089,-0.0244
463,16.5058,-3.2601,-0.025
464,16.8314,-1.8995,-0.024
465,17.0367,0.4263,-0.0223
466,16.9146,-3.3899,-0.0233
467,16.3518,1.613,-0.0229
468,16.3499,-1.2079,-0.0231
469,16.4063,1.1716,-0.026
470,15.8661,0.2428,-0.0252
471,15.6362,-1.3136,-0.0223
472,15.8722,3.2008,-0.0224
473,16.6947,0.8875,-0.0246
474,17.0059,-1.8106,-0.0254
475,17.0143,0.8696,-0.0221
476,16.6153,-3.201,-0.0237
477,16.5071,1.0473,-0.023
478,16.9455,1.4499,-0.0262
479,16.8103,-1.1114,-0.0236
480,17.1846,1.9444,-0.0259
481,17.1463,-1.065,-0.0251
482,16.9167,-0.1918,-0.0236
483,16.6713,-0.0956,-0.0229
484,16.437,0.2774,-0.025
485,16.8284,-0.5919,-0.0249
486,16.9432,-0.0227,-0.0229
487,16.7774,-0.74,-0.0229
488,16.5269,-1.2738,-0.023
489,16.6036,0.1723,-0.0225
490,16.8094,-0.5922,-0.0246
491,16.9557,-0.7436,-0.0225
492,16.8465,3.643,-0.0257
493,16.3902,0.258,-0.0245
494,16.1414,4.1575,-0.0208
495,16.2562,-1.4784,-0.0223
496,16.275,3.6573,-0.0229
497,16.5052,1.1537,-0.0257
498,16.643,-3.6903,-0.0227
499,16.534,1.8319,-0.0245
500,16.8104,2.1488,-0.0238
501,17.1403,-3.317,-0.0252
502,17.0473,0.4809,-0.0233
