Participant,Age,Gender,Course,Occcupation,Prime,LOTR1,LOTR3,LOTR4,LOTR7,LOTR9,LOTR10,MAAS1,MAAS2,MAAS3,MAAS4,MAAS5,MAAS6,MAAS7,MAAS8,MAAS9,MAAS10,MAAS11,MAAS12,MAAS13,MAAS14,MAAS15,Pill1,Pill2,Pill3,Cream1,Cream2,Cream3,Inj1,Inj2,Inj3,Acu1,Acu2,Acu3,Hom1,Hom2,Hom3,Reiki1,Reiki2,Reiki3
3497,21,female,enviromental science,student,,4,4,2,5,5,4,3,2,3,4,5,1,3,5,3,4,3,5,3,4,6,3,3,5,3,3,5,4,4,5,1,1,2,1,1,2,1,1,2
8421,24,female,criminology,student,,3,5,4,4,5,5,3,2,4,6,6,3,4,4,3,4,2,3,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5262,18,female,applied psychology,student,,2,4,3,4,4,3,3,2,3,4,5,5,5,4,4,4,4,6,2,3,5,3,3,2,3,3,2,4,4,4,3,3,2,3,3,2,3,3,2
1358,22,female,physiology,student,,5,4,4,5,4,5,3,4,5,3,5,3,5,6,4,4,3,6,1,3,3,4,3,4,3,3,4,4,5,4,2,1,2,2,1,2,1,1,1
7141,21,female,arts  ,student,,4,5,4,5,4,5,5,5,3,4,4,6,5,5,4,3,6,6,3,3,5,3,4,3,2,2,3,3,4,3,4,4,4,3,3,4,3,2,3
5324,21,female,arts  ,student,,3,2,3,2,4,3,3,2,2,2,2,5,2,4,3,4,3,2,1,1,6,4,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3
8206,18,male,applied psychology,student,,2,3,4,4,4,4,5,3,3,5,6,3,4,6,3,3,2,4,1,2,5,4,4,4,4,4,4,4,5,4,3,3,4,1,1,1,2,2,2
1956,25,female,engligh,student,,2,2,2,4,2,4,3,3,2,6,6,6,3,4,4,2,2,1,2,3,2,4,4,4,2,2,3,5,5,5,3,3,3,2,2,2,2,2,2
705,21,female,arts  ,student,,2,4,4,4,5,4,5,3,5,1,3,3,5,4,3,4,3,5,2,3,6,4,4,4,3,4,3,4,4,4,3,2,2,2,2,3,3,3,3
2245,62,male,psychology,student,,5,5,5,5,5,5,3,4,5,1,1,4,4,5,1,4,4,1,6,4,6,4,4,4,2,2,2,5,5,5,1,1,1,1,1,1,1,1,1
5328,19,female,applied psychology,student,,2,3,3,3,4,4,5,3,3,5,5,6,5,5,4,5,2,5,2,5,2,5,4,4,3,3,3,5,5,5,2,2,3,2,2,2,3,3,3
3049,18,male,maths,student,,3,4,4,4,4,5,3,2,5,5,3,1,4,5,5,4,5,2,3,5,2,4,5,4,3,3,4,5,5,5,3,4,4,2,2,2,1,3,3
5209,28,male,arts  ,student,,3,3,2,5,5,5,5,6,4,2,4,4,5,4,4,4,6,,1,4,4,4,5,5,4,5,5,5,5,5,3,4,4,2,3,3,2,3,3
1580,20,female,english,student,,2,4,2,4,3,4,3,3,1,5,5,1,3,4,6,3,2,3,1,3,5,4,4,5,2,3,3,4,4,5,1,1,1,2,2,2,1,1,1
7198,19,male,genetics,student,,2,2,2,3,2,3,2,5,5,3,5,3,5,4,4,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1,1,1
3580,19,female,applied psychology,student,,2,4,2,3,3,3,3,6,6,3,5,3,5,5,6,4,4,5,3,4,3,4,4,4,3,3,3,4,4,5,3,3,4,3,3,4,3,3,3
2345,32,female,arts  ,student,,5,5,2,5,5,5,4,6,5,6,6,4,6,5,5,4,5,5,6,5,5,4,3,3,2,3,2,5,4,4,5,4,3,2,2,1,4,3,4
