"Gender","Age","UGPG","Year","College","Pill1","Pill2","Pill3","Pill4","Pill5","Pill6","Cream1","Cream2","Cream3","Cream4","Cream5","Cream6","Inj1","Inj2","Inj3","Inj4","Inj5","Inj6","Acu1","Acu2","Acu3","Acu4","Acu5","Acu6","PillTot","CreamTot","InjTot","AcuTot"
"Female",22,"Undergrad",4,"SEFS",1,2,1,2,2,2,2,2,2,2,2,2,1,4,1,2,1,1,4,4,4,4,4,4,10,12,10,24
"Female",19,"Undergrad",1,"SEFS",3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,18,18,24,12
"Female",19,"Undergrad",1,"Medicine & Health",5,4,4,4,4,4,4,3,3,3,3,3,1,3,2,3,3,3,5,5,5,5,5,5,25,19,15,30
"Female",22,"Undergrad",2,"Bus & Law",4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,21,21,20,21
"Female",28,"Undergrad",1,"Arts",4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,23,24,30,24
"Female",20,"Undergrad",2,"Medicine & Health",4,5,3,1,4,2,4,4,3,2,3,3,4,4,2,,5,4,3,4,3,4,3,3,19,19,19,20
"Male",22,"Postgraduate",1,"Arts",4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,24,12,24,12
"Female",18,"Undergrad",1,"Arts",4,4,3,4,4,4,3,2,2,3,3,3,4,5,4,5,5,5,4,4,4,3,3,3,23,16,28,21
"Female",24,"Undergrad",4,"SEFS",5,5,2,4,3,3,1,1,1,1,1,1,5,5,4,4,5,5,1,1,1,1,1,1,22,6,28,6
"Female",18,"Undergrad",1,"Arts",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,24,24,24,18
"Female",56,"Postgraduate",2,"Arts",4,4,3,5,4,4,4,4,4,5,4,4,4,5,4,5,5,5,4,3,3,4,4,4,24,25,28,22
"Male",21,"Undergrad",4,"Medicine & Health",4,4,4,4,4,4,2,3,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,3,24,21,25,18
"Male",23,"Undergrad",4,"Medicine & Health",4,4,4,3,3,3,2,2,2,2,2,2,5,4,4,4,4,4,2,2,2,2,2,2,21,12,25,12
"Female",25,"Undergrad",5,"Medicine & Health",4,4,5,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,24,18,24,12
"Female",26,"Undergrad",2,"Arts",2,3,2,2,2,2,4,4,3,3,4,3,2,2,2,2,3,3,4,4,4,4,4,4,13,21,14,24
"Male",23,"Postgraduate",1,"Bus & Law",4,4,2,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,2,1,2,2,2,2,22,24,21,11
"Female",19,"Undergrad",1,"Arts",4,3,3,4,4,4,2,3,3,2,2,3,4,4,3,4,4,3,3,2,2,2,2,2,22,15,22,13
"Female",18,"Undergrad",1,"Arts",4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,4,25,25,25,25
"Female",39,"Postgraduate",1,,4,4,4,4,4,4,3,2,2,2,2,2,4,4,4,4,5,5,4,4,5,4,4,5,24,13,26,26
"Female",31,"Postgraduate",1,"Bus & Law",4,4,4,4,4,4,2,3,2,1,1,2,3,4,3,4,4,4,3,3,3,4,3,4,24,11,22,20
"Female",28,"Undergrad",4,"Medicine & Health",4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,2,2,2,2,2,2,24,18,30,12
"Female",20,"Undergrad",3,"Medicine & Health",4,4,4,4,4,4,3,2,2,1,2,2,5,3,5,3,3,3,2,1,1,1,1,1,24,12,22,7
"Female",25,"Undergrad",5,"Medicine & Health",4,4,4,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,24,17,24,21
"Male",19,"Undergrad",1,"SEFS",3,4,2,3,4,3,3,3,2,3,2,2,4,4,3,4,4,3,2,2,2,2,2,2,19,15,22,12
"Male",19,"Undergrad",2,"Medicine & Health",5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,4,5,5,1,2,1,1,1,1,28,28,28,7
"Female",31,"Undergrad",4,"Medicine & Health",4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,5,5,4,4,4,4,4,4,24,18,30,24
"Female",18,"Undergrad",1,"Bus & Law",3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,16,18,18,24
"Female",18,"Undergrad",1,"Medicine & Health",3,5,3,5,5,5,2,4,3,4,4,4,3,5,3,5,5,5,2,2,2,2,2,2,26,21,26,12
"Female",24,"Postgraduate",2,"Arts",4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,23,24,23,23
"Female",19,"Undergrad",1,"SEFS",5,4,4,4,3,4,2,2,3,2,3,2,4,5,3,5,4,4,2,3,2,2,3,2,24,14,25,14
"Male",23,"Postgraduate",1,"Bus & Law",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,23,24,24,18
"Male",18,"Undergrad",1,"Arts",4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,24,30,24,18
"Male",19,"Undergrad",1,"Bus & Law",4,4,4,4,4,4,3,3,2,3,4,4,4,4,2,4,4,4,2,2,2,2,2,2,24,19,22,12
"Female",18,"Undergrad",1,"SEFS",4,5,5,5,4,4,2,1,1,2,3,2,4,4,3,4,4,4,4,4,4,5,5,5,27,11,23,27
"Female",19,"Undergrad",1,"SEFS",4,4,4,4,2,3,4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,21,20,20,24
"Female",22,"Undergrad",4,"SEFS",4,4,2,1,2,1,4,4,2,1,2,1,4,4,3,1,2,1,5,5,5,5,5,5,14,14,15,30
"Female",18,"Undergrad",1,"Arts",4,3,2,4,3,3,4,4,4,4,4,5,2,3,3,3,3,3,4,4,5,4,4,4,19,25,17,25
"Female",22,"Undergrad",3,"Arts",4,4,2,4,2,2,2,4,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,18,17,24,24
"Female",19,"Undergrad",1,"Arts",4,4,4,4,2,3,2,2,2,3,3,3,4,5,5,5,4,4,5,5,5,5,5,5,21,15,27,30
"Male",22,"Undergrad",4,"Bus & Law",4,4,5,4,4,4,3,3,2,2,2,2,4,5,5,4,5,4,1,1,1,1,1,1,25,14,27,6
"Female",19,"Undergrad",1,"Arts",4,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,12,9,6,25
"Male",29,"Undergrad",2,"Arts",4,4,3,4,1,1,4,4,3,4,1,1,4,4,3,1,1,1,4,4,3,1,1,1,17,17,14,14
"Male",18,"Undergrad",1,"SEFS",4,4,4,,3,2,2,2,2,2,2,2,3,3,3,3,3,3,,,,,,,17,12,18,0
"Male",21,"Undergrad",4,"SEFS",5,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,3,4,2,4,3,3,27,24,25,19
"Male",22,"Postgraduate",4,"Arts",4,4,4,4,5,4,4,4,4,3,4,3,3,5,3,4,5,4,4,4,4,4,5,5,25,22,24,26
"Female",21,"Undergrad",1,"Arts",5,4,5,4,4,4,2,2,3,2,2,1,1,1,2,1,1,1,4,5,5,4,4,5,26,12,7,27
"Female",24,"Undergrad",2,"SEFS",4,4,4,4,3,3,4,3,3,3,2,3,5,5,4,5,4,5,4,4,5,4,4,4,22,18,28,25
"Female",22,"Undergrad",3,"Medicine & Health",2,3,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,18,24,24
"Female",,"Undergrad",1,"SEFS",2,5,1,5,5,5,4,4,2,4,4,4,2,4,4,4,4,4,2,3,3,3,3,3,23,22,22,17
"Female",20,"Undergrad",3,"SEFS",4,4,3,,4,4,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,18,24,24
"Male",56,"Postgraduate",3,"Arts",3,3,3,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,21,6,12,6
"Female",21,"Undergrad",3,"Arts",2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,,3,3,3,3,3,3,12,6,20,18
"Female",21,"Undergrad",3,"Medicine & Health",4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,4,4,4,4,4,4,4,4,24,24,19,24
"Female",19,"Undergrad",5,"Arts",4,3,2,4,3,2,4,4,3,4,4,4,5,5,3,5,5,5,5,4,4,4,4,4,18,23,28,25
"Male",19,"Undergrad",1,"Arts",2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,4,4,4,4,4,11,11,11,23
"Female",18,"Undergrad",1,"Arts",4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,24,18,24,12
"Male",21,"Undergrad",4,"Bus & Law",5,4,4,5,4,4,4,3,3,3,3,3,3,4,3,4,4,4,1,2,1,1,1,1,26,19,22,7
"Female",23,"Undergrad",5,"Medicine & Health",5,5,4,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,3,3,3,3,3,26,26,26,19
